ChildSKU	ParentSKU	Name	Price	Retail	COGS	Category	Description	ShortDescription	Keywords	Product_URL	Image_URL	Manufacturer	MfrPartNumber	ModelNumber	ECOManufacturer	UPC	ISBN	Media	Available	Condition	Shipping	PromotionalText	DailySpecial	RegularPrice	SizeBucket	AllSize	Qnty_Available	Child_QNTY	ShopzillaPromoText	JewelryStyles	On_Air	Larger_Image_URL	Image_URL_2	Image_URL_3	Image_URL_4	Image_URL_5	Image_URL_6	Image_URL_7	Image_URL_8	Image_URL_9	Image_URL_10	WebOnly	Colors	Sizes	AgeGroup	Gender	Largest_Image_URL	MerchandiseType	Custom_Cat_1	Custom_Cat_2	Custom_Cat_3	Custom_Cat_4	Custom_NameStripped	Clearance_FL	Custom_Copy_1a	Custom_Copy_1b	Custom_Copy_2a	Custom_Copy_2b	Custom_StartDate	Custom_EndDate	Featured_Product	Product_Review_Avg	Product_Review_Count	Sales_Rank	Webp_Id	Grid_Topline	Matrix_Id	Custom_HSNPrice
4508063		Fan Feasting Melamine Bowl Set - Wisconsin - College	34.95	35.00	13.25	Fan Shop > College Fan Shop > Wisconsin	"<p><strong>Fan Feasting Melamine Bowl Set - Wisconsin - College<br /> </strong>It's game day and appetites are growing as fast as the countdown to the first pitch or kickoff! So whether it's a patio party or a pre-game picnic, the colorful bowls in this&nbsp;Fan Feasting Melamine Bowl Set will hold enough yummy snacks&nbsp;to satisfy the fan crowd.&nbsp;<br /> <br /> <strong>What You Get<br /> </strong><br /> Fan Feasting Melamine Bowl Set Includes:</p> <ul>     <li>Large&nbsp;bowl measuring approx. 9"" in diameter x 7""H </li>     <li>2 small bowls&nbsp;measuring approx. 5-1/2"" in diameter x 2-3/4""H&nbsp;</li> </ul>"	Fan Feasting Melamine Bowl Set - Wisconsin - College	Fan Feasting Melamine Bowl Set - Wisconsin - College - Item: 105-4573, College Fan Shop, home shopping network, shop at home, hsn.com	https://www.hsn.com/products/seo/4508063?sz=4&sf=SP0327&ac=	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/1054573?$icn125$	MEMORY Company	COL-WIS-308		EMORY Company				Y	NEW	5.50	Flex Pay Option|Best Seller|Financing Options		34.95			6	6	;Financing Options;;;;;;		FALSE	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/1054573?$pd500$										TRUE			Adult	Female	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/1054573?$pd1001$	DISCONTINUED	Fan Shop	College Fan Shop	Wisconsin		Fan Feasting Melamine Bowl Set  Wisconsin  College	false	Your Favorite Brands at Low Prices.	Shop at HSN.com Today & Save!	Find Top Brands, Great Prices on	Beauty, Fashion, Jewelry & More!				3.0	1		4508063	Fan Feasting Melamine Bowl Set - Wisconsin - College	10051322	34.95
4508611		Born to be a Texas Rangers Fan Photo Frame	19.95	20.00	11.00	Fan Shop > Baseball Fan Shop > Tampa Bay Rays	<strong>Born to be a Texas Rangers Fan Photo Frame<br /> </strong>Celebrate the new arrival with&nbsp;this&nbsp;Born to be a&nbsp;Texas Rangers Fan Photo Frame that also celebrates&nbsp;your family's favorite sport!&nbsp;This beautiful ceramic frame is&nbsp;handpainted with team colors and&nbsp;logo,&nbsp;plus includes&nbsp;space&nbsp;for personalizing&nbsp;the future fan's name, birth date and weight.	Born to be a Texas Rangers Fan Photo Frame	Born to be a Texas Rangers Fan Photo Frame - Item: 105-4592, Baseball Fan Shop, home shopping network, shop at home, hsn.com	https://www.hsn.com/products/seo/4508611?sz=4&sf=SP0006&ac=	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/4508611w?$icn125$	MemoryCo	MLB-TRA-665		EMORY Company				Y	NEW	5.50	Flex Pay Option|Financing Options		19.95			131	131	;Financing Options;;;;;;		FALSE	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/4508611w?$pd500$										TRUE			Adult	Female	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/4508611w?$pd1001$	DISCONTINUED	Fan Shop	Baseball Fan Shop	Tampa Bay Rays		Born to be a Texas Rangers Fan Photo Frame	false	Your Favorite Brands at Low Prices.	Shop at HSN.com Today & Save!	Find Top Brands, Great Prices on	Beauty, Fashion, Jewelry & More!					0		4508611	Born to be a Texas Rangers Fan Photo Frame	10087811	19.95
4508637		Nightlight - Arizona Cardinals	16.95	15.00	9.20	Fan Shop > Football Fan Shop > Arizona Cardinals	<strong>Team Glass Nightlight - Arizona Cardinals<br /> </strong>Add an elegant touch to your home d&eacute;cor while celebrating your favorite team with this&nbsp;Team Glass&nbsp;Nightlight. Handmade in beautiful leaded glass, this&nbsp;decorative oval nightlight&nbsp;features&nbsp;the team's logo encircled&nbsp;by&nbsp;coordinating team colors.	Team Glass Nightlight - Arizona Cardinals	Nightlight - Arizona Cardinals - Item: 105-5857, Football Fan Shop, home shopping network, shop at home, hsn.com	https://www.hsn.com/products/seo/4508637?sz=4&sf=SP0165&ac=	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/4508637w?$icn125$	The Memory Company	NFL-ACA-246		EMORY Company				Y	NEW	3.50	Customer Pick|Flex Pay Option|Financing Options		16.95			117	117	;Financing Options;;;;;;		FALSE	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/4508637w?$pd500$										TRUE			Adult	Female	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/4508637w?$pd1001$	DISCONTINUED	Fan Shop	Football Fan Shop	Arizona Cardinals		Nightlight  Arizona Cardinals	false	Your Favorite Brands at Low Prices.	Shop at HSN.com Today & Save!	Find Top Brands, Great Prices on	Beauty, Fashion, Jewelry & More!				4.3	49		4508637	Team Glass Nightlight - Arizona Cardinals	10075284	16.95
4508800		Handpainted Team Lamp - Denver Broncos - NFL	57.95	60.00	29.00	Fan Shop > Football Fan Shop > Denver Broncos	<strong>Handpainted Art Glass Team Lamp - Denver Broncos - NFL<br /> </strong>This beautifully crafted&nbsp;Handpainted Art Glass Team Lamp adds a classy sports accent to any d&eacute;cor.&nbsp;Its handpainted glass shade features your favorite team's logo and colors, sitting atop an elegant brass-based resin stand.	Handpainted Art Glass Team Lamp - Denver Broncos - NFL	Handpainted Team Lamp - Denver Broncos - NFL - Item: 105-5896, Football Fan Shop, home shopping network, shop at home, hsn.com	https://www.hsn.com/products/seo/4508800?sz=4&sf=SP0067&ac=	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/4508800w?$icn125$	Football Fan Shop	NFL-DBR-462		EMORY Company				Y	NEW	5.50	Flex Pay Option|Best Seller|Financing Options		57.95			153	153	;Financing Options;;;;;;		FALSE	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/4508800w?$pd500$										TRUE			Adult	Female	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/4508800w?$pd1001$	SPORTS	Fan Shop	Football Fan Shop	Denver Broncos		Handpainted Team Lamp  Denver Broncos  NFL	false	Your Favorite Brands at Low Prices.	Shop at HSN.com Today & Save!	Find Top Brands, Great Prices on	Beauty, Fashion, Jewelry & More!				5.0	1		4508800	Handpainted Art Glass Team Lamp - Denver Broncos - NFL	10076538	57.95
4508600		Team Glass Nightlight - Texas Rangers	16.95	15.00	9.20	Fan Shop > Baseball Fan Shop > Tampa Bay Rays	<strong>Team Glass Nightlight - Texas Rangers<br /> </strong>Add an elegant touch to your home d&eacute;cor while celebrating your favorite team with this&nbsp;Team Glass Nightlight. Handmade in beautiful leaded glass, this&nbsp;decorative oval nightlight&nbsp;features&nbsp;the team's logo encircled&nbsp;by&nbsp;coordinating team colors.	Team Glass Nightlight - Texas Rangers	Team Glass Nightlight - Texas Rangers - Item: 105-5851, Baseball Fan Shop, home shopping network, shop at home, hsn.com	https://www.hsn.com/products/seo/4508600?sz=4&sf=SP0006&ac=	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/4508600w?$icn125$	MEMORY Company	MLB-TRA-246		EMORY Company				Y	NEW	3.50	Flex Pay Option|Financing Options		16.95			23	23	;Financing Options;;;;;;		FALSE	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/4508600w?$pd500$										TRUE			Adult	Female	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/4508600w?$pd1001$	DISCONTINUED	Fan Shop	Baseball Fan Shop	Tampa Bay Rays		Team Glass Nightlight  Texas Rangers	false	Your Favorite Brands at Low Prices.	Shop at HSN.com Today & Save!	Find Top Brands, Great Prices on	Beauty, Fashion, Jewelry & More!				5.0	1		4508600	Team Glass Nightlight - Texas Rangers	10078834	16.95
4682856		NAC-500 N-Acetyl Cysteine - 60 Capsules	15.90		8.40	Health & Fitness > Vitamins & Supplements > Antioxidant Vitamins	"<p><strong>Andrew Lessman NAC-500 N-Acetyl Cysteine<br /> </strong>Andrew Lessman's NAC-500 delivers 500 mg of N-Acetyl Cysteine (NAC), a unique detoxifying antioxidant that is a special active form of the amino acid cysteine.&nbsp;<br /> &nbsp;<br /> It is the sulfur in cysteine's ""thiol"" (sulfhydryl) group that imparts NAC's unique properties, including its vital role as one of the three critical building blocks of glutathione, which is our body's most powerful, protective and predominant internal antioxidant. Since glutathione cannot cross cell membranes and cannot enter cells from the outside, it is NAC's ability to easily enter cells that permits cells to create the high concentrations of glutathione they require.</p> <p>NAC offers important protection to the brain, heart and lungs, but because of its unique detoxifying role, NAC provides targeted protection to the hardworking cells of the liver and kidneys, making it a sensible part of any internal cleanse or detoxification program. Unfortunately, NAC is not readily available from the diet and it cannot be produced by the body, so if increased levels of NAC are desired, Andrew's NAC-500 is a simple and affordable way of doing so. <br /> <br /> <strong>What You Get <br /> </strong></p> <table>     <tbody>         <tr>             <td>             <ul class=""ulolProdDesc"">                 <li>60 NAC-500 N-Acetyl Cysteine easy-to-swallow capsules </li>             </ul>             </td>         </tr>     </tbody> </table> <p>Made in USA<br /> <br /> </p>"	NAC-500 N-Acetyl Cysteine - 60 Capsules	NAC-500 N-Acetyl Cysteine - 60 Capsules - Item: 385-997, Vitamins & Supplements, home shopping network, shop at home, hsn.com	https://www.hsn.com/products/seo/4682856?sz=3&sf=HF0086&ac=	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/385997?$icn125$	Andrew Lessman	102144		SN				Y	NEW	.00	Free Shipping|Customer Pick|Flex Pay Option|Financing Options		19.90			81	81	;Financing Options;;;;;;		FALSE	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/385997?$pd500$										FALSE			Adult	Female	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/385997?$pd1001$	HEALTH & FITNESS	Health & Fitness	Vitamins & Supplements	Antioxidant Vitamins		NAC500 NAcetyl Cysteine  60 Capsules	false	Find Top Physical & Personal	Healthcare Products! Shop HSN Now.	Find Top Brands & Great Prices on	Treadmills, Exercise Bikes & More.				4.6	98		4682856	NAC-500 N-Acetyl Cysteine - 60 Capsules	10043565	19.90
4682858		NAC-500 N-Acetyl Cysteine - 360 Capsules	59.90		32.91	Health & Fitness > Vitamins & Supplements > Antioxidant Vitamins	"<p><strong>Andrew Lessman NAC-500 N-Acetyl Cysteine<br /> </strong>Andrew Lessman's NAC-500 delivers 500 mg of N-Acetyl Cysteine (NAC), a unique detoxifying antioxidant that is a special active form of the amino acid cysteine.<br /> &nbsp;<br /> It is the sulfur in cysteine's ""thiol"" (sulfhydryl) group that imparts NAC's unique properties, including its vital role as one of the three critical building blocks of glutathione, which is our body's most powerful, protective and predominant internal antioxidant. Since glutathione cannot cross cell membranes and cannot enter cells from the outside, it is NAC's ability to easily enter cells that permits cells to create the high concentrations of glutathione they require.</p> <p>NAC offers important protection to the brain, heart and lungs, but because of its unique detoxifying role, NAC provides targeted protection to the hardworking cells of the liver and kidneys, making it a sensible part of any internal cleanse or detoxification program. Unfortunately, NAC is not readily available from the diet and it cannot be produced by the body, so if increased levels of NAC are desired, Andrew's NAC-500 is a simple and affordable way of doing so. <br /> <br /> <strong>What You Get <br /> </strong></p> <table>     <tbody>         <tr>             <td>             <ul class=""ulolProdDesc"">                 <li>360 NAC-500 N-Acetyl Cysteine easy-to-swallow capsules </li>             </ul>             </td>         </tr>     </tbody> </table> <p>Made in USA<br /> <br /> </p>"	NAC-500 N-Acetyl Cysteine - 360 Capsules	NAC-500 N-Acetyl Cysteine - 360 Capsules - Item: 385-999, Vitamins & Supplements, home shopping network, shop at home, hsn.com	https://www.hsn.com/products/seo/4682858?sz=3&sf=HF0086&ac=	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/385999?$icn125$	Andrew Lessman	102146		SN	195922174417			Y	NEW	.00	Free Shipping|Customer Pick|Flex Pay Option|Financing Options		79.90			382	382	;Financing Options;;;;;;		FALSE	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/385999?$pd500$										FALSE			Adult	Female	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/385999?$pd1001$	HEALTH & FITNESS	Health & Fitness	Vitamins & Supplements	Antioxidant Vitamins		NAC500 NAcetyl Cysteine  360 Capsules	false	Find Top Physical & Personal	Healthcare Products! Shop HSN Now.	Find Top Brands & Great Prices on	Treadmills, Exercise Bikes & More.				4.6	98		4682858	NAC-500 N-Acetyl Cysteine - 360 Capsules	10043565	79.90
4735045		Cruciferous Vegetable Extracts - 30 Capsules	14.90		7.97	Health & Fitness > Vitamins & Supplements > Antioxidant Vitamins	"<strong>Andrew Lessman Cruciferous Extracts</strong><br /> Andrew Lessman's Cruciferous Extracts is a unique combination of powerful extracts from what are now accepted as the&nbsp;healthiest of vegetables - The Cruciferous! <br /> <br /> We are all familiar with cruciferous vegetables such as broccoli, brussels sprouts and cabbage, along with some less recognized members, including mustard seed and Japanese wasabi. Cruciferous vegetables are the healthy vegetables children love to hate and sadly, they don't fare much better with adults. Given our limited consumption of these vegetables, a&nbsp;supplement is the only other means of enjoying their remarkable benefits. Unfortunately, making an ethical supplement was not possible until recently, because doing so requires more than putting dried veggies in a pill. In fact, the only way for a vitamin to provide the benefits of these vegetables is via extracts verified to deliver specific beneficial compounds from each vegetable.&nbsp;<br /> <br /> Andrew's Cruciferous Extracts formula has been in&nbsp;development for more than a decade, and now we can finally deliver certified standardized extracts of key compounds from a wide variety of cruciferous vegetables. The most important of these cruciferous extracts are the glucosinolates, including sulforaphane. Glucosinolates are a very broad family of extremely beneficial compounds that give cruciferous vegetables their characteristic taste and are also responsible for their health benefits.<br /> <br /> The brussels sprouts, kale, wasabi and mustard seed extracts in this formula are standardized for high levels of glucosinolates, including the remarkable 20% level found in our mustard seed extract. Two of&nbsp;the extracts are standardized&nbsp;for sulforaphane, including broccoli extract, which is our most potent ever at an amazing 1.2% sulforaphane. Sulforaphane is the compound attributed with broccoli's long list of health benefits.<br /> <br /> Cruciferous Extracts is rounded out with extracts of red cabbage, standardized for high levels of polyphenols and anthocyanins. This formula&nbsp;is a unique blend of standardized extracts from a broad array of cruciferous vegetables to provide a convenient and&nbsp;economical tool to help overcome the absence of these remarkable foods and their health benefits from our diet.&nbsp;<br /> <br /> <strong>What You Get</strong> <br /> <br /> <table>     <tbody>         <tr>             <td>             <ul class=""ulolProdDesc"">                 <li>30 Cruciferous Extracts easy-to-swallow capsules</li>             </ul>             </td>         </tr>     </tbody> </table> <br /> Made in USA<br /> <br /> <strong>Good to Know&nbsp;</strong>"	Cruciferous Vegetable Extracts - 30 Capsules	Cruciferous Vegetable Extracts - 30 Capsules - Item: 389-331, Vitamins & Supplements, home shopping network, shop at home, hsn.com	https://www.hsn.com/products/seo/4735045?sz=3&sf=HF0086&ac=	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/389331?$icn125$	Andrew Lessman	108087		SN	848970022246			Y	NEW	.00	Free Shipping|Customer Pick|Flex Pay Option|Financing Options		19.90			394	394	;Financing Options;;;;;;		FALSE	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/389331?$pd500$	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/389331_alt99?$pd500$									FALSE			Adult	Female	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/389331?$pd1001$	HEALTH & FITNESS	Health & Fitness	Vitamins & Supplements	Antioxidant Vitamins		Cruciferous Vegetable Extracts  30 Capsules	false	Find Top Physical & Personal	Healthcare Products! Shop HSN Now.	Find Top Brands & Great Prices on	Treadmills, Exercise Bikes & More.				4.4	223		4735045	Cruciferous Vegetable Extracts - 30 Capsules	10041759	19.90
4735047		Cruciferous Vegetable Extracts - 60 Capsules	24.90		12.93	Health & Fitness > Vitamins & Supplements > Antioxidant Vitamins	"<strong>Andrew Lessman Cruciferous Extracts</strong><br /> Andrew Lessman's Cruciferous Extracts is a unique combination of powerful extracts from what are now accepted as the&nbsp;healthiest of vegetables - The Cruciferous! <br /> <br /> We are all familiar with cruciferous vegetables such as broccoli, brussels sprouts and cabbage, along with some less recognized members, including mustard seed and Japanese wasabi. Cruciferous vegetables are the healthy vegetables children love to hate and sadly, they don't fare much better with adults. Given our limited consumption of these vegetables, a&nbsp;supplement is the only other means of enjoying their remarkable benefits. Unfortunately, making an ethical supplement was not possible until recently, because doing so requires more than putting dried veggies in a pill. In fact, the only way for a vitamin to provide the benefits of these vegetables is via extracts verified to deliver specific beneficial compounds from each vegetable.&nbsp;<br /> <br /> Andrew's Cruciferous Extracts formula has been in&nbsp;development for more than a decade, and now we can finally deliver certified standardized extracts of key compounds from a wide variety of cruciferous vegetables. The most important of these cruciferous extracts are the glucosinolates, including sulforaphane. Glucosinolates are a very broad family of extremely beneficial compounds that give cruciferous vegetables their characteristic taste and are also responsible for their health benefits.<br /> <br /> The brussels sprouts, kale, wasabi and mustard seed extracts in this formula are standardized for high levels of glucosinolates, including the remarkable 20% level found in our mustard seed extract. Two of&nbsp;the extracts are standardized&nbsp;for sulforaphane, including broccoli extract, which is our most potent ever at an amazing 1.2% sulforaphane. Sulforaphane is the compound attributed with broccoli's long list of health benefits.<br /> <br /> Cruciferous Extracts is rounded out with extracts of red cabbage, standardized for high levels of polyphenols and anthocyanins. This formula&nbsp;is a unique blend of standardized extracts from a broad array of cruciferous vegetables to provide a convenient and&nbsp;economical tool to help overcome the absence of these remarkable foods and their health benefits from our diet.&nbsp;<br /> <br /> <strong>What You Get</strong> <br /> <br /> <table>     <tbody>         <tr>             <td>             <ul class=""ulolProdDesc"">                 <li>60 Cruciferous Extracts capsules</li>             </ul>             </td>         </tr>     </tbody> </table> <br /> Made in USA<br /> <br /> <strong>Good to Know&nbsp;</strong>"	Cruciferous Vegetable Extracts - 60 Capsules	Cruciferous Vegetable Extracts - 60 Capsules - Item: 389-333, Vitamins & Supplements, home shopping network, shop at home, hsn.com	https://www.hsn.com/products/seo/4735047?sz=3&sf=HF0086&ac=	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/389333?$icn125$	Andrew Lessman	108088		SN	848970022253			Y	NEW	.00	Free Shipping|Customer Pick|Flex Pay Option|Financing Options		34.90			684	684	;Financing Options;;;;;;		FALSE	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/389333?$pd500$	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/389333_alt99?$pd500$									FALSE			Adult	Female	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/389333?$pd1001$	HEALTH & FITNESS	Health & Fitness	Vitamins & Supplements	Antioxidant Vitamins		Cruciferous Vegetable Extracts  60 Capsules	false	Find Top Physical & Personal	Healthcare Products! Shop HSN Now.	Find Top Brands & Great Prices on	Treadmills, Exercise Bikes & More.				4.4	223	245	4735047	Cruciferous Vegetable Extracts - 60 Capsules	10041759	34.90
4735049		Cruciferous Vegetable Extracts - 180 Capsules	54.90		29.90	Health & Fitness > Vitamins & Supplements > Antioxidant Vitamins	"<strong>Andrew Lessman Cruciferous Extracts</strong><br /> Andrew Lessman's Cruciferous Extracts is a unique combination of powerful extracts from what are now accepted as the&nbsp;healthiest of vegetables - The Cruciferous! <br /> <br /> We are all familiar with cruciferous vegetables such as broccoli, brussels sprouts and cabbage, along with some less recognized members, including mustard seed and Japanese wasabi. Cruciferous vegetables are the healthy vegetables children love to hate and sadly, they don't fare much better with adults. Given our limited consumption of these vegetables, a&nbsp;supplement is the only other means of enjoying their remarkable benefits. Unfortunately, making an ethical supplement was not possible until recently, because doing so requires more than putting dried veggies in a pill. In fact, the only way for a vitamin to provide the benefits of these vegetables is via extracts verified to deliver specific beneficial compounds from each vegetable.&nbsp;<br /> <br /> Andrew's Cruciferous Extracts formula has been in&nbsp;development for more than a decade, and now we can finally deliver certified standardized extracts of key compounds from a wide variety of cruciferous vegetables. The most important of these cruciferous extracts are the glucosinolates, including sulforaphane. Glucosinolates are a very broad family of extremely beneficial compounds that give cruciferous vegetables their characteristic taste and are also responsible for their health benefits.<br /> <br /> The brussels sprouts, kale, wasabi and mustard seed extracts in this formula are standardized for high levels of glucosinolates, including the remarkable 20% level found in our mustard seed extract. Two of&nbsp;the extracts are standardized&nbsp;for sulforaphane, including broccoli extract, which is our most potent ever at an amazing 1.2% sulforaphane. Sulforaphane is the compound attributed with broccoli's long list of health benefits.<br /> <br /> Cruciferous Extracts is rounded out with extracts of red cabbage, standardized for high levels of polyphenols and anthocyanins. This formula&nbsp;is a unique blend of standardized extracts from a broad array of cruciferous vegetables to provide a convenient and&nbsp;economical tool to help overcome the absence of these remarkable foods and their health benefits from our diet.&nbsp;<br /> <br /> <strong>What You Get</strong> <br /> <br /> <table>     <tbody>         <tr>             <td>             <ul class=""ulolProdDesc"">                 <li>180 Cruciferous Extracts easy-to-swallow capsules</li>             </ul>             </td>         </tr>     </tbody> </table> <br /> Made in USA<br /> <br /> <strong>Good to Know</strong>"	Cruciferous Vegetable Extracts - 180 Capsules	Cruciferous Vegetable Extracts - 180 Capsules - Item: 389-335, Vitamins & Supplements, home shopping network, shop at home, hsn.com	https://www.hsn.com/products/seo/4735049?sz=3&sf=HF0086&ac=	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/389335?$icn125$	Andrew Lessman	108089		SN	848970022260			Y	NEW	.00	Free Shipping|Customer Pick|Flex Pay Option|Financing Options		79.90			902	902	;Financing Options;;;;;;		FALSE	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/389335?$pd500$	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/389335_alt99?$pd500$									FALSE			Adult	Female	https://i01.hsncdn.com/is/image/HomeShoppingNetwork/389335?$pd1001$	HEALTH & FITNESS	Health & Fitness	Vitamins & Supplements	Antioxidant Vitamins		Cruciferous Vegetable Extracts  180 Capsules	false	Find Top Physical & Personal	Healthcare Products! Shop HSN Now.	Find Top Brands & Great Prices on	Treadmills, Exercise Bikes & More.				4.4	223	193	4735049	Cruciferous Vegetable Extracts - 180 Capsules	10041759	79.90
